Model  E2xx_9Bux 16 FRT
Point_Num   21
    NAME        주파수1        주파수2        주파수3        주파수4        주파수5        주파수6        주파수7        주파수8        주파수9       주파수10           깊이 제동면 R/OUT U 제동면 R/OUT D 제동면 R/OUT U 제동면 R/OUT D      HUB평면도    모자부 내경   제동면두께 O            DTV        ORDER_L     ORDER_L_NO     Time           Operator    
    UNIT              2              2              2              2              2              2              2              2              2              2              3              3              3              3              3              3              3              3              3              3              0
   K.TOL              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
     USL           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00         40.000          0.020          0.020          0.020          0.020       1000.000        180.250         26.150          0.006        100.000             10
      25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.023          0.024          0.021          0.022          0.025          0.032          0.032          2.312              3    10:52:34             HANYANG
      26           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.023          0.022          0.022          0.029          0.024          0.032          0.037          3.794              7    10:52:35             HANYANG
      27           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.020          0.022          0.022          0.021          0.024          0.033          0.040          4.493              2    10:52:35             HANYANG
      28           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.020          0.021          0.027          0.021          0.027          0.031          0.029          3.463              3    10:52:35             HANYANG
      29           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.029          0.023          0.024          0.024          0.025          0.031          0.049          2.638              5    10:52:36             HANYANG
      30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.029          0.026          0.025          0.023          0.027          0.032          0.050          3.819              3    10:52:36             HANYANG
      31           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.023          0.022          0.029          0.020          0.027          0.031          0.033          4.101              7    10:52:36             HANYANG
      32           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.023          0.022          0.020          0.026          0.027          0.032          0.031          3.233              3    10:52:37             HANYANG
      33           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.023          0.023          0.019          0.027          0.023          0.032          0.028          2.899              6    10:52:37             HANYANG
      34           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.024          0.026          0.020          0.020          0.023          0.032          0.039          4.544              6    10:52:37             HANYANG
      35           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.024          0.019          0.026          0.020          0.024          0.032          0.028          2.939              2    10:52:37             HANYANG
      36           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.027          0.023          0.023          0.021          0.028          0.032          0.040          4.398              7    10:52:38             HANYANG
      37           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.030          0.024          0.025          0.027          0.023          0.025          0.031          0.033          3.826              3    10:52:38             HANYANG
      38           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.030          0.022          0.023          0.021          0.021          0.024          0.033          0.039          4.575              3    10:52:38             HANYANG
      39           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.026          0.026          0.024          0.022          0.022          0.031          0.032          3.436              6    10:52:38             HANYANG
      40           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.023          0.027          0.023          0.029          0.024          0.032          0.042          4.454              4    10:52:39             HANYANG
      41           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.028          0.022          0.024          0.021          0.025          0.032          0.038          3.549              2    10:52:39             HANYANG
      42           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.022          0.022          0.024          0.021          0.029          0.032          0.038          3.869              6    10:52:39             HANYANG
      43           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.023          0.021          0.021          0.028          0.025          0.031          0.034          3.264              4    10:52:39             HANYANG
      44           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.023          0.029          0.023          0.027          0.020          0.032          0.039          4.152              6    10:52:40             HANYANG
      45           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.020          0.021          0.022          0.025          0.024          0.032          0.034          3.367              5    10:52:40             HANYANG
      46           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.029          0.020          0.025          0.024          0.025          0.031          0.032          3.177              5    10:52:41             HANYANG
      47           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.021          0.022          0.024          0.023          0.025          0.032          0.028          3.927              4    10:52:41             HANYANG
      48           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.029          0.025          0.018          0.027          0.026          0.033          0.048          1.949              3    10:52:41             HANYANG
      47           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.026          0.021          0.026          0.022          0.024          0.032          0.032          0.033         11.029          0.040          4.603              7    10:56:59             HANYANG
      48           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.021          0.024          0.026          0.018          0.029          0.032          0.032          0.031         11.029          0.037          3.689              4    10:57:00             HANYANG
      49           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.023          0.022          0.019          0.024          0.025          0.032          0.032          0.032         11.030          0.031          4.899              6    10:57:01             HANYANG
      50           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.026          0.025          0.023          0.021          0.026          0.032          0.032          0.033         11.029          0.035          6.155              4    10:57:01             HANYANG
      51           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.031          0.024          0.023          0.026          0.023          0.026          0.033          0.032          0.032         11.028          0.037          4.968              2    10:57:02             HANYANG
      52           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.032          0.023          0.026          0.027          0.023          0.023          0.032          0.033          0.033         11.028          0.032          3.646              7    10:57:03             HANYANG
      53           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.033          0.023          0.024          0.021          0.022          0.025          0.032          0.032          0.033         11.030          0.032          2.312              3    10:57:03             HANYANG
