[13:25:03] : AUTO RUNNING OFF
[13:25:09] : PROGRAM END
 
[13:29:48] : PROGRAM START
[13:29:51] : AUTO RUNNING OFF
[13:29:51] : REQUEST MEAS. OFF
[13:29:51] : REQUEST ZEROSET OFF
[13:29:51] : REQUEST ZEROSET OFF
[13:29:57] : AUTO RUNNING ON
[13:30:09] : Cycle start ON
[13:30:12] : Cycle start OFF
[13:30:19] : REQUEST MEAS. ON
[13:30:22] : REQUEST MEAS. OFF
[13:31:26] : Cycle start ON
[13:31:28] : Cycle start OFF
[13:31:36] : REQUEST MEAS. ON
[13:31:39] : REQUEST MEAS. OFF
[13:33:24] : Cycle start ON
[13:33:26] : Cycle start OFF
[13:33:34] : REQUEST MEAS. ON
[13:33:37] : REQUEST MEAS. OFF
[13:35:22] : Cycle start ON
[13:35:25] : Cycle start OFF
[13:35:32] : REQUEST MEAS. ON
[13:35:35] : REQUEST MEAS. OFF
[13:37:21] : Cycle start ON
[13:37:23] : Cycle start OFF
[13:37:31] : REQUEST MEAS. ON
[13:37:34] : REQUEST MEAS. OFF
[13:40:18] : AUTO RUNNING OFF
[13:40:27] : Cycle start ON
[13:40:28] : Cycle start OFF
[13:40:36] : REQUEST ZEROSET ON
[13:40:39] : REQUEST ZEROSET OFF
[13:40:52] : Cycle start ON
[13:40:53] : Cycle start OFF
[13:41:01] : REQUEST ZEROSET ON
[13:41:04] : REQUEST ZEROSET OFF
[13:41:25] : AUTO RUNNING ON
[13:41:28] : Cycle start ON
[13:41:31] : Cycle start OFF
[13:41:38] : REQUEST MEAS. ON
[13:41:41] : REQUEST MEAS. OFF
[14:54:48] : AUTO RUNNING OFF
[14:54:56] : Cycle start ON
[14:54:58] : Cycle start OFF
[14:55:06] : REQUEST MEAS. ON
[14:55:09] : REQUEST MEAS. OFF
[14:57:12] : AUTO RUNNING ON
[15:53:25] : AUTO RUNNING OFF
[15:53:33] : Cycle start ON
[15:53:35] : Cycle start OFF
[15:53:43] : REQUEST MEAS. ON
[15:53:46] : REQUEST MEAS. OFF
[15:54:06] : RESET ON
[15:54:09] : AUTO RUNNING ON
[17:46:33] : Cycle start ON
[17:46:35] : Cycle start OFF
[17:46:43] : REQUEST MEAS. ON
[17:46:46] : REQUEST MEAS. OFF
[17:48:24] : Cycle start ON
[17:48:27] : Cycle start OFF
[17:48:34] : REQUEST MEAS. ON
[17:48:37] : REQUEST MEAS. OFF
[17:50:14] : Cycle start ON
[17:50:16] : Cycle start OFF
[17:50:24] : REQUEST MEAS. ON
[17:50:27] : REQUEST MEAS. OFF
[17:52:02] : Cycle start ON
[17:52:05] : Cycle start OFF
[17:52:12] : REQUEST MEAS. ON
[17:52:15] : REQUEST MEAS. OFF
[17:53:58] : Cycle start ON
[17:54:00] : Cycle start OFF
[17:54:08] : REQUEST MEAS. ON
[17:54:11] : REQUEST MEAS. OFF
[17:55:58] : Cycle start ON
[17:56:00] : Cycle start OFF
[17:56:07] : REQUEST MEAS. ON
[17:56:10] : REQUEST MEAS. OFF
[17:57:56] : Cycle start ON
[17:57:58] : Cycle start OFF
[17:58:06] : REQUEST MEAS. ON
[17:58:09] : REQUEST MEAS. OFF
[17:59:55] : Cycle start ON
[17:59:57] : Cycle start OFF
[18:00:05] : REQUEST MEAS. ON
[18:00:08] : REQUEST MEAS. OFF
[18:01:53] : Cycle start ON
[18:01:55] : Cycle start OFF
[18:02:03] : REQUEST MEAS. ON
[18:02:06] : REQUEST MEAS. OFF
[18:03:50] : Cycle start ON
[18:03:52] : Cycle start OFF
[18:04:00] : REQUEST MEAS. ON
[18:04:03] : REQUEST MEAS. OFF
[18:05:53] : Cycle start ON
[18:05:55] : Cycle start OFF
[18:06:03] : REQUEST MEAS. ON
[18:06:06] : REQUEST MEAS. OFF
[18:07:41] : Cycle start ON
[18:07:44] : Cycle start OFF
[18:07:51] : REQUEST MEAS. ON
[18:07:54] : REQUEST MEAS. OFF
[18:09:37] : Cycle start ON
[18:09:39] : Cycle start OFF
[18:09:47] : REQUEST MEAS. ON
[18:09:50] : REQUEST MEAS. OFF
[18:11:34] : Cycle start ON
[18:11:36] : Cycle start OFF
[18:11:44] : REQUEST MEAS. ON
[18:11:47] : REQUEST MEAS. OFF
[18:13:29] : Cycle start ON
[18:13:32] : Cycle start OFF
[18:13:39] : REQUEST MEAS. ON
[18:13:42] : REQUEST MEAS. OFF
[18:15:25] : Cycle start ON
[18:15:27] : Cycle start OFF
[18:15:35] : REQUEST MEAS. ON
[18:15:38] : REQUEST MEAS. OFF
[18:17:20] : Cycle start ON
[18:17:23] : Cycle start OFF
[18:17:30] : REQUEST MEAS. ON
[18:17:33] : REQUEST MEAS. OFF
[18:19:16] : Cycle start ON
[18:19:19] : Cycle start OFF
[18:19:27] : REQUEST MEAS. ON
[18:19:29] : REQUEST MEAS. OFF
[18:21:12] : Cycle start ON
[18:21:15] : Cycle start OFF
[18:21:22] : REQUEST MEAS. ON
[18:21:25] : REQUEST MEAS. OFF
[18:23:19] : Cycle start ON
[18:23:22] : Cycle start OFF
[18:23:30] : REQUEST MEAS. ON
[18:23:32] : REQUEST MEAS. OFF
[18:24:31] : Cycle start ON
[18:24:33] : Cycle start OFF
[18:24:41] : REQUEST MEAS. ON
[18:24:44] : REQUEST MEAS. OFF
[18:26:18] : Cycle start ON
[18:26:21] : Cycle start OFF
[18:26:29] : REQUEST MEAS. ON
[18:26:31] : REQUEST MEAS. OFF
[18:28:06] : Cycle start ON
[18:28:09] : Cycle start OFF
[18:28:16] : REQUEST MEAS. ON
[18:28:19] : REQUEST MEAS. OFF
[18:29:54] : Cycle start ON
[18:29:57] : Cycle start OFF
[18:30:04] : REQUEST MEAS. ON
[18:30:07] : REQUEST MEAS. OFF
[18:31:43] : Cycle start ON
[18:31:45] : Cycle start OFF
[18:31:52] : REQUEST MEAS. ON
[18:31:55] : REQUEST MEAS. OFF
[18:33:31] : Cycle start ON
[18:33:33] : Cycle start OFF
[18:33:41] : REQUEST MEAS. ON
[18:33:43] : REQUEST MEAS. OFF
[18:35:27] : Cycle start ON
[18:35:29] : Cycle start OFF
[18:35:37] : REQUEST MEAS. ON
[18:35:39] : REQUEST MEAS. OFF
[18:38:30] : Cycle start ON
[18:38:32] : Cycle start OFF
[18:38:40] : REQUEST MEAS. ON
[18:38:43] : REQUEST MEAS. OFF
[18:40:17] : Cycle start ON
[18:40:20] : Cycle start OFF
[18:40:27] : REQUEST MEAS. ON
[18:40:30] : REQUEST MEAS. OFF
[18:42:06] : Cycle start ON
[18:42:08] : Cycle start OFF
[18:42:16] : REQUEST MEAS. ON
[18:42:19] : REQUEST MEAS. OFF
[18:44:23] : Cycle start ON
[18:44:26] : Cycle start OFF
[18:44:33] : REQUEST MEAS. ON
[18:44:36] : REQUEST MEAS. OFF
[18:46:56] : Cycle start ON
[18:46:58] : Cycle start OFF
[18:47:06] : REQUEST MEAS. ON
[18:47:09] : REQUEST MEAS. OFF
[19:04:45] : Cycle start ON
[19:04:47] : Cycle start OFF
[19:04:55] : REQUEST MEAS. ON
[19:04:58] : REQUEST MEAS. OFF
[19:06:32] : Cycle start ON
[19:06:35] : Cycle start OFF
[19:06:42] : REQUEST MEAS. ON
[19:06:45] : REQUEST MEAS. OFF
[19:08:31] : Cycle start ON
[19:08:34] : Cycle start OFF
[19:08:41] : REQUEST MEAS. ON
[19:08:44] : REQUEST MEAS. OFF
[19:10:08] : Cycle start ON
[19:10:10] : Cycle start OFF
[19:10:18] : REQUEST MEAS. ON
[19:10:21] : REQUEST MEAS. OFF
[19:12:33] : Cycle start ON
[19:12:35] : Cycle start OFF
[19:12:43] : REQUEST MEAS. ON
