[08:25:03] : REQUEST MEAS. ON
[08:25:04] : REQUEST MEAS. OFF
[08:25:16] : REQUEST MEAS. ON
[08:25:18] : REQUEST MEAS. OFF
[08:25:29] : REQUEST MEAS. ON
[08:25:31] : REQUEST MEAS. OFF
[08:25:42] : REQUEST MEAS. ON
[08:25:44] : REQUEST MEAS. OFF
[08:36:36] : PROGRAM END
 
[08:37:12] : PROGRAM START
[08:37:13] : MARK TCP Connect OK
[08:37:18] : AUTO RUNNING OFF
[08:37:18] : REQUEST MEAS. OFF
[08:37:18] : REQUEST ZEROSET OFF
[08:37:18] : REQUEST ZEROSET OFF
[08:56:33] : REQUEST MEAS. ON
[08:56:35] : REQUEST MEAS. OFF
[08:58:58] : REQUEST ZEROSET ON
[08:58:59] : REQUEST ZEROSET OFF
[08:59:14] : REQUEST ZEROSET ON
[08:59:15] : REQUEST ZEROSET OFF
[08:59:49] : REQUEST MEAS. ON
[08:59:50] : REQUEST MEAS. OFF
[09:00:27] : REQUEST MEAS. ON
[09:00:28] : REQUEST MEAS. OFF
[09:05:27] : REQUEST MEAS. ON
[09:05:29] : REQUEST MEAS. OFF
[09:06:02] : REQUEST ZEROSET ON
[09:06:03] : REQUEST ZEROSET OFF
[09:06:19] : REQUEST ZEROSET ON
[09:06:20] : REQUEST ZEROSET OFF
[09:06:39] : REQUEST ZEROSET ON
[09:06:40] : REQUEST ZEROSET OFF
[09:07:09] : REQUEST ZEROSET ON
[09:07:10] : REQUEST ZEROSET OFF
[09:07:16] : PROGRAM END
 
[09:07:21] : PROGRAM START
[09:07:22] : MARK TCP Connect OK
[09:07:26] : AUTO RUNNING OFF
[09:07:26] : REQUEST MEAS. OFF
[09:07:26] : REQUEST ZEROSET OFF
[09:07:26] : REQUEST ZEROSET OFF
[09:07:38] : REQUEST ZEROSET ON
[09:07:39] : REQUEST ZEROSET OFF
[09:07:57] : REQUEST ZEROSET ON
[09:07:58] : REQUEST ZEROSET OFF
[09:08:16] : REQUEST ZEROSET ON
[09:08:17] : REQUEST ZEROSET OFF
[09:09:48] : REQUEST ZEROSET ON
[09:09:49] : REQUEST ZEROSET OFF
[09:10:05] : REQUEST MEAS. ON
[09:10:06] : REQUEST MEAS. OFF
[09:10:34] : REQUEST MEAS. ON
[09:10:35] : REQUEST MEAS. OFF
[09:11:22] : REQUEST MEAS. ON
[09:11:23] : REQUEST MEAS. OFF
[09:11:50] : REQUEST MEAS. ON
[09:11:51] : REQUEST MEAS. OFF
[09:12:16] : REQUEST MEAS. ON
[09:12:18] : REQUEST MEAS. OFF
[09:12:43] : REQUEST MEAS. ON
[09:12:44] : REQUEST MEAS. OFF
[09:13:08] : REQUEST MEAS. ON
[09:13:09] : REQUEST MEAS. OFF
[09:13:48] : REQUEST MEAS. ON
[09:13:49] : REQUEST MEAS. OFF
[09:14:19] : REQUEST MEAS. ON
[09:14:20] : REQUEST MEAS. OFF
[09:14:39] : REQUEST MEAS. ON
[09:14:40] : REQUEST MEAS. OFF
[09:14:59] : REQUEST MEAS. ON
[09:15:01] : REQUEST MEAS. OFF
[09:15:20] : REQUEST MEAS. ON
[09:15:21] : REQUEST MEAS. OFF
[10:51:35] : REQUEST MEAS. ON
[10:51:36] : REQUEST MEAS. OFF
[10:59:04] : REQUEST MEAS. ON
[10:59:05] : REQUEST MEAS. OFF
[10:59:41] : REQUEST MEAS. ON
[10:59:42] : REQUEST MEAS. OFF
 
[12:03:49] : REQUEST MEAS. ON
[12:03:50] : REQUEST MEAS. OFF
[12:04:13] : REQUEST MEAS. ON
[12:04:14] : REQUEST MEAS. OFF
[12:04:35] : REQUEST MEAS. ON
[12:04:37] : REQUEST MEAS. OFF
[12:08:15] : REQUEST ZEROSET ON
[12:08:16] : REQUEST ZEROSET OFF
[12:08:31] : REQUEST ZEROSET ON
[12:08:32] : REQUEST ZEROSET OFF
[12:08:46] : REQUEST ZEROSET ON
[12:08:47] : REQUEST ZEROSET OFF
[12:09:05] : REQUEST MEAS. ON
[12:09:06] : REQUEST MEAS. OFF
[12:09:49] : REQUEST MEAS. ON
[12:09:50] : REQUEST MEAS. OFF
[12:10:16] : REQUEST MEAS. ON
[12:10:18] : REQUEST MEAS. OFF
[12:10:31] : REQUEST MEAS. ON
[12:10:32] : REQUEST MEAS. OFF
[12:11:24] : REQUEST MEAS. ON
[12:11:26] : REQUEST MEAS. OFF
[12:11:55] : REQUEST MEAS. ON
[12:11:56] : REQUEST MEAS. OFF
[12:58:36] : REQUEST ZEROSET ON
[12:58:37] : REQUEST ZEROSET OFF
[12:58:50] : REQUEST ZEROSET ON
[12:58:52] : REQUEST ZEROSET OFF
[12:59:04] : REQUEST ZEROSET ON
[12:59:05] : REQUEST ZEROSET OFF
[12:59:18] : REQUEST ZEROSET ON
[12:59:19] : REQUEST ZEROSET OFF
[12:59:39] : REQUEST MEAS. ON
[12:59:40] : REQUEST MEAS. OFF
[12:59:51] : REQUEST MEAS. ON
[12:59:53] : REQUEST MEAS. OFF
[13:00:06] : REQUEST MEAS. ON
[13:00:07] : REQUEST MEAS. OFF
[13:00:18] : REQUEST MEAS. ON
[13:00:20] : REQUEST MEAS. OFF
[13:00:31] : REQUEST MEAS. ON
[13:00:33] : REQUEST MEAS. OFF
[13:00:46] : REQUEST MEAS. ON
[13:00:47] : REQUEST MEAS. OFF
[13:00:58] : REQUEST MEAS. ON
[13:01:00] : REQUEST MEAS. OFF
[13:01:11] : REQUEST MEAS. ON
[13:01:13] : REQUEST MEAS. OFF
[13:01:25] : REQUEST MEAS. ON
[13:01:27] : REQUEST MEAS. OFF
[13:01:38] : REQUEST MEAS. ON
[13:01:40] : REQUEST MEAS. OFF
[13:01:56] : REQUEST ZEROSET ON
[13:01:57] : REQUEST ZEROSET OFF
[13:02:11] : REQUEST ZEROSET ON
[13:02:12] : REQUEST ZEROSET OFF
[13:02:26] : REQUEST MEAS. ON
[13:02:27] : REQUEST MEAS. OFF
[13:02:39] : REQUEST MEAS. ON
[13:02:41] : REQUEST MEAS. OFF
[13:02:52] : REQUEST MEAS. ON
[13:02:54] : REQUEST MEAS. OFF
[13:03:06] : REQUEST MEAS. ON
[13:03:08] : REQUEST MEAS. OFF
[13:03:19] : REQUEST MEAS. ON
[13:03:21] : REQUEST MEAS. OFF
[13:03:32] : REQUEST MEAS. ON
[13:03:34] : REQUEST MEAS. OFF
[13:03:45] : REQUEST MEAS. ON
[13:03:47] : REQUEST MEAS. OFF
[13:04:00] : REQUEST MEAS. ON
[13:04:01] : REQUEST MEAS. OFF
[13:04:12] : REQUEST MEAS. ON
[13:04:14] : REQUEST MEAS. OFF
[13:04:26] : REQUEST MEAS. ON
[13:04:27] : REQUEST MEAS. OFF
[13:04:40] : REQUEST MEAS. ON
[13:04:41] : REQUEST MEAS. OFF
[13:04:54] : REQUEST MEAS. ON
[13:04:55] : REQUEST MEAS. OFF
[13:05:08] : REQUEST MEAS. ON
[13:05:09] : REQUEST MEAS. OFF
[13:05:22] : REQUEST MEAS. ON
[13:05:23] : REQUEST MEAS. OFF
[13:05:36] : REQUEST MEAS. ON
[13:05:37] : REQUEST MEAS. OFF
[13:05:50] : REQUEST MEAS. ON
[13:05:51] : REQUEST MEAS. OFF
[13:06:03] : REQUEST MEAS. ON
[13:06:04] : REQUEST MEAS. OFF
[13:06:17] : REQUEST MEAS. ON
[13:06:18] : REQUEST MEAS. OFF
[13:06:31] : REQUEST MEAS. ON
[13:06:32] : REQUEST MEAS. OFF
[13:06:45] : REQUEST MEAS. ON
[13:06:46] : REQUEST MEAS. OFF
[13:07:00] : REQUEST MEAS. ON
[13:07:01] : REQUEST MEAS. OFF
[13:07:14] : REQUEST MEAS. ON
[13:07:15] : REQUEST MEAS. OFF
[13:07:29] : REQUEST MEAS. ON
