[09:59:06] : REQUEST MEAS. ON
[09:59:07] : REQUEST MEAS. OFF
[09:59:21] : REQUEST MEAS. ON
[09:59:22] : REQUEST MEAS. OFF
[09:59:36] : REQUEST MEAS. ON
[09:59:37] : REQUEST MEAS. OFF
[09:59:50] : REQUEST MEAS. ON
[09:59:51] : REQUEST MEAS. OFF
[10:00:06] : REQUEST MEAS. ON
[10:00:07] : REQUEST MEAS. OFF
[10:00:20] : REQUEST MEAS. ON
[10:00:21] : REQUEST MEAS. OFF
[10:00:35] : REQUEST MEAS. ON
[10:00:36] : REQUEST MEAS. OFF
[10:00:50] : REQUEST MEAS. ON
[10:00:51] : REQUEST MEAS. OFF
[10:01:05] : REQUEST MEAS. ON
[10:01:06] : REQUEST MEAS. OFF
[10:01:20] : REQUEST MEAS. ON
[10:01:21] : REQUEST MEAS. OFF
[10:01:35] : REQUEST MEAS. ON
[10:01:36] : REQUEST MEAS. OFF
[10:01:49] : REQUEST MEAS. ON
[10:01:50] : REQUEST MEAS. OFF
[10:02:04] : REQUEST MEAS. ON
[10:02:05] : REQUEST MEAS. OFF
[10:02:19] : REQUEST MEAS. ON
[10:02:20] : REQUEST MEAS. OFF
[10:02:34] : REQUEST MEAS. ON
[10:02:35] : REQUEST MEAS. OFF
[10:02:49] : REQUEST MEAS. ON
[10:02:50] : REQUEST MEAS. OFF
[10:03:04] : REQUEST MEAS. ON
[10:03:05] : REQUEST MEAS. OFF
[10:03:18] : REQUEST MEAS. ON
[10:03:19] : REQUEST MEAS. OFF
[10:03:33] : REQUEST MEAS. ON
[10:03:34] : REQUEST MEAS. OFF
[10:03:48] : REQUEST MEAS. ON
[10:03:49] : REQUEST MEAS. OFF
[10:04:03] : REQUEST MEAS. ON
[10:04:04] : REQUEST MEAS. OFF
[10:04:18] : REQUEST MEAS. ON
[10:04:19] : REQUEST MEAS. OFF
[10:04:33] : REQUEST MEAS. ON
[10:04:34] : REQUEST MEAS. OFF
[10:04:48] : REQUEST MEAS. ON
[10:04:49] : REQUEST MEAS. OFF
[10:05:03] : REQUEST MEAS. ON
[10:05:04] : REQUEST MEAS. OFF
[10:05:17] : REQUEST MEAS. ON
[10:05:18] : REQUEST MEAS. OFF
[10:05:32] : REQUEST MEAS. ON
[10:05:33] : REQUEST MEAS. OFF
[10:05:47] : REQUEST MEAS. ON
[10:05:48] : REQUEST MEAS. OFF
