Model  DISC
Point_Num   23
    NAME        주파수1        주파수2        주파수3        주파수4        주파수5        주파수6        주파수7        주파수8        주파수9       주파수10           깊이 제동면 R/OUT U 제동면 R/OUT D 제동면 R/OUT U 제동면 R/OUT D      HUB평면도    모자부 외경    모자부 내경         P/Hole   제동면두께 O            DTV        ORDER_L     ORDER_L_NO     Time           Operator    
    UNIT              2              2              2              2              2              2              2              2              2              2              3              3              3              3              3              3              3              3              3              3              3              3              0
   K.TOL              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
     USL           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00         40.000          0.020          0.020          0.020          0.020       1000.000        161.250        180.250         70.745         26.150          0.006        100.000             10
     LSL           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00         35.000          0.001          0.001          0.001          0.001      -1000.000        160.750        179.750         70.695         25.850          0.000       -100.000            -10
